TelepulesID;TeruletNeve;TipusID;TeruletHa;FolyoM;UtolsoM;UtolsoSz;SzamlalDb
174;Kertalja-Tóháti holtág;6;16,13;;2012.12.14 7:38:00;;0
175;Szélmező tőzegláp tavai;11;121,66;;2012.2.15 11:37:00;1992.11.7;35
176;Tócó-Kösely menti tározó;18;86,08;;2013.12.15 12:54:00;2013.7.10;23
177;Milotai-bányató;6;12,69;;2013.6.28 15:48:00;;0
178;Csorba-tó;7;217,33;;2013.10.9 22:54:00;;0
179;Mocsai kavicsbányató;9;8,56;;2014.3.22 15:18:00;2014.3.22;35
179;Boldogasszony-tó;17;111,74;;2014.1.14 16:35:00;2013.12.14;121
180;Monostorapáti-víztározó;19;55,47;;2013.11.21 14:32:00;2007.1.14;2
181;Madarász-tó;5;91,99;;2013.7.9 19:18:00;1985.12.14;57
181;Nagyszéksós-tó;15;112,89;;2013.7.19 0:20:00;2013.7.18;62
181;Kisszéksós-tó;15;45,59;;2013.7.10 17:09:00;1985.6.15;56
182;Várhelyi-tó;9;13,25;;2013.11.13 19:52:00;2013.11.1;1
183;Nábrádi-halastavak;5;46,99;;2011.9.4 14:01:00;2011.9.2;9
184;Tőzeg bányák;1;594,39;;2013.2.1 20:13:00;2012.5.29;16
185;Szelencés;14;1687,01;;2013.7.1 22:05:00;;0
186;Nagydobszai-halastavak;5;81,28;;2013.7.2 14:10:00;1989.11.17;33
187;Nagyecsedi Nagylegelő;13;280,65;;2012.12.16 18:37:00;;0
188;Nagyhalászi Fertő I.;5;18,48;;2013.12.16 16:01:00;2011.10.28;2
188;Nagyhalászi-halastó;5;99,92;;2013.12.16 15:49:00;2011.10.28;8
188;Nagyhalászi Fertő II. horgásztó;7;6,53;;2010.9.1 19:32:00;;0
188;Malomtó;7;0,88;;2010.8.30 16:22:00;;0
188;Rákóczi úti mocsár;11;6,43;;2012.12.12 15:43:00;;0
189;Elepi-halastó;5;1027,31;;2013.10.24 10:52:00;2012.12.15;190
190;Nagyigmándi-halastavak;5;87,05;;2014.3.2 15:28:00;2014.3.2;61
191;Kásahát;14;732,37;;2013.10.21 11:31:00;2012.12.16;25
192;Harangodi tó;5;137,98;;2013.12.16 16:13:00;2011.10.30;39
193;Miklósfai Mórichelyi-halastavak;5;305,21;;2011.11.10 22:15:00;2008.11.17;19
194;Nagylaki halastó;5;104,78;;2012.6.3 16:05:00;2012.6.3;1
195;Nagypalli-halastavak;5;50,51;;2013.7.1 14:01:00;;0
196;Ferencmajori-halastavak;5;395,32;;2014.1.14 16:23:00;2013.12.14;233
196;Billegi-tó;7;10,85;;2013.12.2 11:29:00;2013.10.12;17
196;Grébicsi-tó;17;79,21;;2014.2.20 11:28:00;2013.12.14;64
197;Sárosfői-halastavak;5;28,75;;2012.2.16 10:07:00;1993.11.3;38
198;Sósár;13;201,10;;2014.1.8 21:19:00;2009.5.7;1
199;Nórápi-halastó;5;29,24;;2012.2.15 12:36:00;1992.11.14;78
200;Nyárádi-halastó;5;52,02;;2012.2.16 11:43:00;1993.10.30;66
201;Szénarét;7;7,75;;2012.9.12 16:05:00;;0
