szerzo	cim	ev	kiadokod	oldal	tema
Dumas, Alexandre	A jávai orvos	1966	12	318	szépirodalom
Dumas, Alexandre	A három testõr	1989	12	660	szépirodalom
Dumas, Alexandre	Monte Christo grófja I-III.	1979	22	1397	szépirodalom
Brontë, Anne	Agnes Gray	1984	12	203	szépirodalom
Brontë, Charlotte	Villette	1967	12	567	szépirodalom
Brontë, Charlotte	Jane Eyre	1962	12	476	szépirodalom
Brontë, Charlotte	A különös tanítvány	1989	12	216	szépirodalom
Brontë, Emily	Üvöltõ szelek	1967	12	327	szépirodalom
Solohov, Mihail	Emberi sors	1964	4	75	szépirodalom
Solohov, Mihail	Csendes Don I-IV.	1982	12	1807	szépirodalom
Sienkiewicz, Henryk	Quo Vadis	1979	12	554	szépirodalom
Sienkiewicz, Henryk	Kereszteslovagok I-II.	1968	12	967	szépirodalom
Steinbeck, John	Édentõl keletre I-II.	1979	12	773	szépirodalom
Stendhal	Vanina vanini	1966	12	198	szépirodalom
Stendhal	Vörös és fekete	1959	12	507	szépirodalom
Stendhal	Vörös és fehér	1960	12	559	szépirodalom
Shakespeare, William	Hamlet. Szentivánéji álom	1958	6	230	szépirodalom
Shakespeare, William	Lear király	1957	12	184	szépirodalom
Shakespeare, William	Sok hûhó semmiért	1960	12	107	szépirodalom
Shakespeare, William	Tragédiák	1902	24	609	szépirodalom
Semprum, Jorge	A nagy utazás	1986	12	214	szépirodalom
Segal, Erich	Szerelmi történet	1982	12	136	szórakoztató irodalom
Segal, Erich	Oliver története	1989	12	280	szórakoztató irodalom
Sütõ András	A szuzai menyegzõ	1981	6	135	szépirodalom
Sütõ András	Színmûvek	1989	6	282	szépirodalom
Sütõ András	Káin és Ábel. Anyám könnyû álmot ígér	1978	5	218	szépirodalom
Sütõ András	Omló egek alatt	1990	6	272	szépirodalom
Sütõ András	Síkaszói fenyõforgácsok	1987	25	182	szépirodalom
Sütõ András	Advent a Hargitán	1987	6	306	szépirodalom
Sütõ András	Az Idõ markában	1984	6	436	szépirodalom
Sütõ András	A lõtt lábú madár nyomában	1988	6	384	szépirodalom
Sütõ András	Kék álhalál	1997	10	259	szépirodalom
Sütõ András	Anyám könnyû álmot ígér	1981	6	221	szépirodalom
	Ábel-Zsuzsanna	1987	26	191	vallás
Probáld Ferenc - Szegedi Nándor	A világ fõvárosai	1986	27	396	földrajz
	Földünk országai	1975	27	369	földrajz
Darvas Gábor	Évezredek hangszerei	1961	28	232	zene
Mittelstadt, Kuno	Vincent van Gogh	1976	29	65	képzõmûvészet
Bergerhoff, Renate	Tiziano	1975	29	70	képzõmûvészet
Füstös János	World Wide Web	1996	30	296	informatika
Butzen, Fred - Hilton, Christopher	Linux hálózatok	1999	31	568	informatika
Bartók Nagy János - Laufer Judit	UNIX felhasználói ismeretek	1995	32	388	informatika
Szabó Bálint	Linux az otthoni PC-n	2000	33	266	informatika
Kernighan, Brian - Ritchie, Dennis	A C programozási nyelv	1993	34	231	informatika
Zsakó László	Programozási feladatok I-II.	1997	27	581	informatika
Jamsa, Kris - Lalani, Suleiman - Weakley, Steve	A WEB programozása I-II.	1997	27	595	informatika
Szelezsán János	Adatbázisok	1995	33	218	informatika
Jakab Zsolt	Adobe Photoshop	1998	35	353	informatika
	Biblia	1997	36	1386	vallás
Törõcsik Attila	Hangszerek kislexikona	2003	37	254	zene
Brockhaus-Riemann	Zenei lexikon I-III.	1984	38	2023	zene
Révész Dorrit	A zene könyve	1981	38	190	zene
Szántó Péter	És ilyen a boksz?	1985	9	183	zene
Gonda János	Jazz	1965	38	371	zene
Molnár Imre - Molnár Gábor	Halhatatlan Beatles	2001	39	671	zene
Simonyi Károly	A fizika kultúrtörténete	1986	20	539	fizika
Öveges József	Kis fizika I-II.	1998	40	375	fizika
Öveges József	Sugárözönben élünk	1995	40	239	fizika
Öveges József	Klasszikus fizika	2000	40	245	fizika
Veresné Horváth Éva	Miért piros a tilos?	1988	34	113	fizika
