ertek	tipus	datum	helyaz
1,5	min	1930.09.06	43
-13,4	min	1964.03.18	35
19,4	max	2006.11.26	87
-19,2	min	1973.12.01	35
-24	min	1902.12.12	44
-5	min	1984.04.28	121
25	max	1990.03.12	113
25,2	max	1989.10.22	103
40,6	max	2013.08.08	105
-8,7	min	2011.10.18	132
-11,4	min	1918.03.28	43
-5,2	min	2013.10.07	132
35	max	1987.06.15	98
39,3	max	1917.08.01	143
-26,5	min	1940.01.20	97
-5,2	min	1988.04.24	59
15,2	max	1956.01.22	72
29,2	max	1934.04.18	47
4,7	min	1998.07.09	59
-4,5	min	1931.10.02	63
-16,8	min	1920.10.31	143
-10	min	1977.04.01	63
16,2	max	2003.01.03	99
28,2	max	1997.10.10	126
-1,5	min	1959.09.20	101
23,1	max	2000.11.17	87
25,6	max	2006.03.27	84
-7,1	min	2013.10.06	132
21	max	1989.12.19	6
36,1	max	1987.09.14	126
-3,6	min	1957.05.09	101
30,2	max	1939.04.08	92
-24,2	min	1969.01.01	106
-26	min	1927.12.21	35
-4,2	min	2011.05.06	61
-7,3	min	1997.04.16	59
-2	min	1959.09.19	101
3,4	min	2011.06.26	61
-1	min	1973.05.17	116
-8,6	min	2013.10.05	61
-31,9	min	2003.01.12	61
-12	min	2003.03.22	61
35	max	1925.05.31	44
-23,5	min	1954.02.23	51
22,3	max	1957.03.14	45
34,9	max	1950.05.26	30
22,1	max	1963.11.11	2
37,6	max	2008.09.07	5
-25	min	1954.01.03	110
-19,5	min	1962.03.19	96
17,8	max	1961.12.04	30
-8,7	min	2011.10.18	57
41	max	2007.07.18	33
4	min	1902.07.03	44
-24	min	1947.01.05	133
26,8	max	2012.10.20	107
35	max	1987.06.15	107
-18	min	2005.03.07	130
3,8	min	1987.08.07	116
-2,2	min	1978.05.11	59
37,3	max	2013.06.19	18
0,2	min	1973.09.16	71
4,2	min	1919.08.04	63
-12	min	1931.03.30	43
4,1	min	1967.06.11	59
34	max	1929.05.29	44
17,3	max	1915.12.10	80
31	max	1935.10.05	76
-1,6	min	1968.05.20	106
18,9	max	2012.11.28	87
37,9	max	1994.06.29	40
-16,5	min	1929.03.06	52
15,3	max	1921.01.01	81
-14,3	min	1983.11.14	71
36	max	1910.06.12	44
27,7	max	1989.04.01	82
35,8	max	1905.09.15	80
-2	min	1933.09.19	52
-6,8	min	2011.10.16	61
-1,4	min	2004.05.24	61
36,6	max	1947.06.05	68
28	max	1896.03.23	68
31,3	max	2012.04.28	107
-26,2	min	1902.12.15	133
-23,1	min	1956.02.25	50
24,2	max	1963.11.05	5
17	max	1926.02.03	30
-7	min	1908.10.20	81
2,1	min	2001.08.30	61
-12,5	min	1997.10.29	62
34	max	1932.09.30	92
-2,6	min	1978.05.13	3
-0,8	min	1991.05.26	7
26	max	1926.10.30	47
1,5	min	1980.08.25	101
3,7	min	1986.08.22	7
38,6	max	1994.07.31	60
39,2	max	2011.08.25	86
-26	min	1940.02.19	136
-0,5	min	1991.09.09	52
24,7	max	1963.11.04	5
37,7	max	2002.06.23	84
36	max	1896.05.28	68
27,5	max	1961.10.19	12
2	min	1980.08.26	122
-23	min	1988.11.24	86
33,3	max	2012.05.02	1
39,5	max	1950.07.04	123
-16,2	min	1908.11.16	133
33,5	max	1983.05.17	98
-26	min	1935.02.12	30
-12,2	min	2006.11.04	61
-18,2	min	1908.11.17	8
0,6	min	1962.06.08	59
25,9	max	1938.04.03	43
31	max	1950.04.21	39
35	max	1945.05.15	68
2,9	min	1962.06.10	106
2,5	min	1982.06.16	71
-6,4	min	1981.04.17	35
36,7	max	1916.06.10	68
2,6	min	2001.08.31	61
-3,6	min	2002.10.08	61
27,2	max	1961.04.15	43
28,5	max	1986.04.07	107
36	max	1905.09.13	80
25,6	max	1935.10.21	30
22,2	max	1972.03.16	3
-26	min	1982.01.14	31
24	max	2002.11.15	65
34,7	max	2007.05.22	53
1,7	min	2006.06.09	61
17	max	1995.01.26	95
16,8	max	1944.02.02	22
-18,8	min	2006.03.09	15
34,4	max	2005.05.30	107
5,2	min	1919.07.24	63
-24,6	min	1947.01.07	30
3,5	min	2012.08.14	61
-24,1	min	1947.01.30	43
0	min	1911.09.12	133
-0,7	min	1966.05.30	59
39	max	1905.08.03	39
32,9	max	2012.05.01	145
36,6	max	1927.06.03	44
17	max	1948.01.14	81
-25,1	min	1985.02.13	106
41,3	max	1950.07.05	72
-9,3	min	2013.10.04	61
-1,5	min	1997.09.21	119
4,5	min	1984.07.04	59
1,8	min	2000.06.17	61
16,7	max	1975.01.06	84
5,2	min	1937.07.12	63
1,3	min	2009.06.14	61
-23	min	1937.12.30	136
20,7	max	2008.02.26	86
36,9	max	2003.06.11	58
4,3	min	2000.07.10	134
-16,5	min	1962.03.20	96
17,8	max	2007.01.13	140
-3,2	min	1991.05.25	7
38,2	max	1917.06.21	68
-11	min	1918.03.29	133
35,2	max	1918.09.25	100
-28,5	min	1942.01.22	8
18,6	max	1998.02.17	99
-13,3	min	1988.11.06	10
-2,2	min	1977.09.25	7
-4,2	min	1959.10.01	101
40	max	1928.07.17	68
38,1	max	1931.07.15	76
-9	min	1908.10.22	44
-28	min	1940.01.11	79
36	max	1945.06.08	68
17,8	max	1998.02.19	146
23,3	max	1928.11.02	30
34,8	max	1947.09.12	68
-22	min	1987.03.04	118
-5,6	min	2007.05.03	61
19,5	max	1960.02.29	101
3,7	min	1960.07.02	52
41	max	2007.07.19	102
-0,6	min	2004.09.10	61
-24,6	min	1940.12.17	79
-2,3	min	1999.05.07	134
-10,4	min	1988.11.09	118
17,1	max	1989.12.14	19
34,6	max	1947.09.16	68
-13,6	min	1908.11.08	133
-35	min	1940.02.16	124
-1	min	1927.05.27	35
24,3	max	2000.11.14	99
-24,6	min	1942.01.18	136
38,1	max	1950.07.03	72
-5,5	min	1984.04.27	121
17,6	max	1939.01.19	30
20,5	max	2008.03.02	101
-13,7	min	1999.11.21	134
-29	min	1963.02.28	32
21,8	max	1998.02.13	22
-17,2	min	1988.11.23	48
4,4	min	2013.08.17	61
-1	min	1977.09.14	7
25	max	1896.03.18	68
40,5	max	2007.07.21	76
-7,9	min	2001.04.15	61
0,1	min	2006.06.01	61
-23,9	min	1963.12.18	104
35	max	1944.09.03	25
21	max	2004.02.06	102
4	min	1919.07.27	63
3,4	min	1996.07.20	62
-16,7	min	1993.11.19	79
3,9	min	1989.07.18	20
38,2	max	1991.07.13	75
-34,1	min	1942.01.24	30
-7,6	min	1963.04.03	59
-27,4	min	1960.01.15	29
38,2	max	1992.08.30	12
39	max	1928.07.16	44
33,3	max	2012.05.02	135
3,5	min	1902.06.20	43
33,2	max	1942.09.27	68
15,1	max	2004.12.27	107
22	max	1989.12.17	113
39,1	max	1957.07.08	30
25,6	max	1935.10.21	43
-4,3	min	1955.04.26	52
2	min	1986.09.05	116
38,2	max	1950.08.31	136
25,5	max	2013.10.29	86
-23	min	1923.12.30	35
29,8	max	1935.10.08	92
19,5	max	1998.02.28	93
-30	min	1929.02.10	97
19,5	max	2003.11.27	99
-4,2	min	1906.09.26	63
-24,2	min	1978.02.21	101
4,2	min	2007.08.01	61
23,5	max	1970.11.03	81
15	max	1993.01.25	67
25,8	max	1923.10.28	76
-25,2	min	1963.03.02	32
-11,5	min	2013.03.25	59
-12	min	1908.10.23	81
4,2	min	1964.07.07	114
28,3	max	1939.10.18	80
3,4	min	2000.06.29	61
4,8	min	1919.08.05	63
4,6	min	1981.08.19	101
30	max	1896.03.20	68
17,4	max	2007.01.10	138
27,4	max	1989.04.11	54
-2,2	min	1938.05.05	63
24,9	max	1920.03.07	8
1,5	min	2003.09.03	61
-2,2	min	1935.05.05	52
-8,4	min	1990.10.24	118
25,8	max	1911.03.30	133
17	max	1921.01.14	97
-10	min	1918.03.27	63
-22	min	1929.03.03	35
-22,8	min	1973.12.03	116
-12,1	min	1997.10.28	62
4,9	min	1976.08.06	20
19	max	1989.12.15	95
34	max	1925.06.01	44
18,9	max	2003.11.28	107
39,1	max	2011.07.10	76
-20,7	min	1902.12.11	80
-13,4	min	1988.11.12	118
-24	min	1963.12.19	106
-10	min	1997.10.25	116
39,5	max	2000.08.20	16
4,2	min	2012.08.15	61
38,9	max	1950.06.30	72
-10	min	1908.10.21	81
2	min	1980.08.26	71
18,5	max	2010.12.07	99
22,5	max	2004.02.05	91
35	max	1918.09.24	100
29,3	max	1953.10.16	72
30,2	max	1920.04.19	145
27	max	1974.03.22	31
-2,1	min	1980.05.14	59
29	max	1896.03.25	68
34,8	max	1908.05.23	30
35	max	1918.09.23	143
21,2	max	1984.11.24	27
-6,4	min	2011.10.15	61
33,2	max	1942.09.27	55
33,6	max	1920.05.25	44
3,6	min	1976.08.24	71
-25,2	min	1902.12.13	43
40,5	max	1905.08.04	39
29	max	1896.03.26	68
-23	min	1933.12.10	115
-11,3	min	1908.11.07	81
3	min	2007.07.31	61
33,4	max	1946.05.05	68
2,8	min	1967.06.12	22
23,1	max	2000.11.17	86
22,1	max	1938.03.10	123
18,2	max	1930.11.29	68
-25,4	min	1987.02.02	137
34,2	max	2007.05.24	107
20,1	max	1926.11.20	39
-25,2	min	1996.12.27	62
-4	min	1906.09.27	44
40,2	max	1917.08.02	143
31,3	max	1919.10.02	143
40,2	max	1905.08.06	39
31,5	max	1934.05.10	8
29,5	max	1935.10.09	97
16,5	max	1993.01.21	91
30,2	max	2013.04.26	86
-14,7	min	1908.11.18	8
3,1	min	1921.06.24	63
-6,6	min	1992.10.13	119
-15	min	1958.03.24	115
4,5	min	1984.07.08	89
-1	min	1991.09.08	116
40,3	max	2007.07.22	111
-9,7	min	1998.03.26	62
16,7	max	2007.01.11	64
34,8	max	2011.09.05	76
-1,2	min	1952.05.22	101
-2	min	1902.09.22	44
-4,4	min	1978.05.12	45
16,8	max	1936.01.27	47
17,4	max	1959.12.02	25
16,9	max	1939.01.17	68
-25,1	min	1950.02.04	35
28	max	1973.04.10	31
15,5	max	1993.01.16	95
-22,7	min	1905.01.02	133
39,8	max	1952.08.15	76
21,4	max	1998.02.15	22
-5	min	1902.04.29	43
0,3	min	2000.06.28	61
-7,9	min	1997.04.13	62
5,8	min	1940.07.30	52
-21,4	min	1963.02.26	106
22,3	max	1903.02.23	80
-19	min	1915.11.29	133
-6,6	min	1970.04.04	59
32,6	max	2013.04.30	4
29,6	max	1947.04.17	68
39	max	2013.08.07	86
24	max	1920.03.05	2
39,2	max	1946.08.18	72
-22,5	min	1932.02.20	30
37,8	max	1957.07.07	42
38,7	max	1992.08.28	120
30,2	max	1986.04.26	126
24,7	max	1963.11.16	30
15,5	max	1993.01.24	88
0	min	1977.06.03	59
40,2	max	1952.08.16	43
16,6	max	1987.12.30	126
24	max	1969.11.13	68
28,2	max	1946.04.04	68
