szalloda_az	indulas	idotartam	ar
CZ	2011.01.26	8	94900
CZ	2011.01.26	15	142900
CZ	2011.02.02	8	102900
CZ	2011.02.02	15	151900
CZ	2011.02.09	8	102900
CZ	2011.02.09	15	151900
CZ	2011.02.16	8	102900
CZ	2011.02.16	15	151900
CZ	2011.02.23	8	102900
CZ	2011.02.23	15	157900
CZ	2011.03.02	8	102900
CZ	2011.03.02	15	157900
CZ	2011.03.09	8	109900
CZ	2011.03.09	15	164900
CZ	2011.03.16	8	109900
CZ	2011.03.16	15	164900
CZ	2011.03.23	8	109900
CZ	2011.03.23	15	164900
CZ	2011.03.30	8	109900
CZ	2011.03.30	15	189900
CZ	2011.04.06	8	133900
CZ	2011.04.06	15	207900
CZ	2011.04.13	8	127900
CZ	2011.04.13	15	183900
CZ	2011.04.20	8	109900
CZ	2011.04.20	15	164900
CZ	2011.04.27	8	109900
FJ	2011.01.02	8	69900
FJ	2011.01.02	15	89900
FJ	2011.01.09	8	88900
FJ	2011.01.09	15	122900
FJ	2011.01.16	8	96900
FJ	2011.01.16	15	133900
FJ	2011.01.23	8	96900
FJ	2011.01.23	15	133900
FJ	2011.01.30	8	96900
FJ	2011.01.30	15	133900
FJ	2011.02.06	8	100900
FJ	2011.02.06	15	150900
FJ	2011.02.13	8	100900
FJ	2011.02.13	15	150900
FJ	2011.02.20	8	100900
FJ	2011.02.20	15	154900
FJ	2011.02.27	8	102900
FJ	2011.02.27	15	154900
FJ	2011.03.06	8	109900
FJ	2011.03.06	15	165900
FJ	2011.03.10	11	133900
FJ	2011.03.13	8	109900
FJ	2011.03.13	12	143900
FJ	2011.03.13	15	165900
FJ	2011.03.17	8	109900
FJ	2011.03.17	11	133900
FJ	2011.03.17	15	165900
FJ	2011.03.20	8	109900
FJ	2011.03.20	12	143900
FJ	2011.03.20	15	165900
FJ	2011.03.24	8	109900
FJ	2011.03.24	11	133900
FJ	2011.03.24	15	165900
FJ	2011.03.27	8	109900
FJ	2011.03.27	12	143900
FJ	2011.03.27	15	165900
