Dátum	Távolság (km)	Mennyiség (liter)	Ár (Ft)	Benzinkút azonosítója	Benzinár (Ft/l)	Fogyasztás (l/100km)
1999.07.06	384,4	26,60	5 024	N3				Megtett távolság
2002.06.13	573,0	39,42	8 511	O13
2002.06.25	597,0	40,35	8 792	A1
2002.07.05	525,0	38,23	8 674	A1
2002.07.13	523,0	33,35	7 701	M3
2002.07.21	540,0	36,97	8 573	NA
2002.07.31	586,0	38,90	8 982	A1
2002.08.11	469,0	31,04	7 260	NA
2002.08.19	521,0	32,99	7 716	NA
2002.08.27	584,0	37,18	8 771	O2
2002.09.04	534,0	36,55	8 622	A2
2002.09.13	548,0	39,77	9 382	A2
2002.09.20	518,0	36,30	8 636	A1
2002.09.30	553,0	42,30	10 063	A2
2002.11.14	549,0	39,01	8 734	A2
2002.12.09	535,0	40,98	9 134	A2
2003.02.16	482,0	38,46	9 265	O13
2003.04.27	474,0	35,32	7 979	E3
2003.05.18	640,0	40,57	9 043	A2
2003.06.12	541,0	35,08	7 925	A2
2003.07.05	609,0	38,17	8 890	NA
2003.07.12	215,0	13,53	3 178	S4
2003.07.15	604,0	36,38	8 546	S5
2003.08.21	714,0	44,56	10 690	S3
2003.09.03	583,0	36,50	8 793	O3
2003.09.29	551,0	35,23	8 205	O3
2003.10.26	507,0	35,00	8 012	M1
2003.11.23	563,0	39,36	9 010	E4
2004.01.01	550,0	37,94	8 745	O4
2004.02.15	542,0	39,69	9 283	O4
2004.03.21	502,0	35,07	8 343	O3
2004.04.27	579,0	40,71	9 893	E2
2004.06.29	592,0	40,81	10 182	NA
2004.07.02	500,0	31,07	6 793	NA
2004.07.03	130,0	8,26	1 806	NA
2004.07.05	310,0	19,01	4 675	NA
2004.07.17	615,0	38,69	9 785	M2
2004.07.23	601,0	36,84	9 243	M4
2004.08.09	659,0	41,64	10 364	O3
2004.08.23	582,0	37,18	9 259	E2
2004.09.06	577,0	41,26	10 233	E2
2004.09.20	565,0	40,80	10 196	M4
2004.10.01	565,0	39,90	9 896	E2
2004.10.14	592,0	42,28	10 693	O3
2004.10.26	542,0	39,98	10 196	E2
2004.11.08	578,0	42,86	10 630	E2
2004.11.23	556,0	42,34	10 247	E2
2004.12.06	557,0	42,92	10 468	O5
2004.12.16	560,0	43,38	10 060	O3
2004.12.31	526,0	38,73	9 059	E1
2005.01.17	563,0	43,65	10 258	E2
2005.01.27	446,0	33,71	7 787	J1
2005.02.03	568,0	41,23	9 891	O3
2005.02.16	527,0	39,44	9 466	E2
2005.03.01	497,0	41,55	9 764	T1
2005.03.10	557,0	42,93	10 514	O3
2005.03.23	550,0	40,51	9 926	E2
2005.04.04	566,0	41,42	10 517	E1
2005.04.15	582,0	42,24	10 983	E2
2005.04.26	619,0	43,13	11 128	E2
2005.05.06	513,0	37,46	9 664	E2
2005.05.17	602,0	40,61	10 397	E2
2005.05.27	542,0	39,64	10 144	O3
2005.06.05	578,0	38,77	9 999	O3
2005.06.16	585,0	45,07	11 714	E3
2005.07.03	578,0	39,10	10 318	O3
2005.07.15	552,0	36,77	10 148	E2
2005.07.18	326,0	19,34	4 834	M5
2005.07.19	406,0	21,44	5 895	M6
2005.07.22	376,0	22,99	5 593	M7
2005.07.25	507,0	29,73	7 200	M6
2005.07.28	457,0	25,80	6 295	M5
2005.08.10	673,0	44,72	12 252	E2
2005.08.25	629,0	39,00	10 667	J2
2005.09.07	556,0	40,98	11 637	E2
2005.09.16	557,0	38,29	11 100	O3
2005.09.26	516,0	39,40	11 149	E2
2005.10.07	610,0	43,58	11 898	E2
2005.10.20	533,0	41,93	11 191	E1
2005.10.28	600,0	43,77	11 463	E1
2005.11.09	515,0	37,18	9 626	E1
2005.11.19	611,0	46,60	11 925	E1
2005.11.29	607,0	44,68	11 344	E1
2005.12.08	664,0	46,14	11 715	E1
2005.12.17	526,0	40,22	10 333	E1
2005.12.29	545,0	41,50	10 495	E1
2006.01.10	526,0	37,35	9 595	E1
2006.01.20	585,0	46,47	12 170	E1
2006.02.02	599,0	47,70	12 683	E1
2006.02.13	581,0	45,27	11 901	E1
2006.02.24	608,0	45,36	11 517	E1
2006.03.10	607,0	45,93	11 753	E1
2006.03.23	618,0	46,04	12 012	E1
2006.04.03	588,0	45,25	11 987	E1
2006.04.14	610,0	46,06	12 754	E1
2006.04.25	541,0	39,15	10 567	E1
2006.05.05	685,0	46,72	13 124	E1
2006.05.16	565,0	45,09	12 936	E1
2006.05.26	631,0	45,15	12 637	E1
2006.06.08	627,0	44,56	12 695	E1
2006.06.22	589,0	41,91	12 401	O3
2006.07.11	612,0	40,25	11 990	E1
2006.07.17	658,0	44,26	13 318	E1
2006.07.26	721,0	44,42	13 366	E1
2006.08.03	532,0	31,02	9 334	E1
2006.08.12	293,0	19,86	5 867	NA
2006.08.22	658,0	44,67	13 173	E1
2006.09.04	632,0	43,72	12 500	E1
2006.09.15	605,0	44,03	11 884	E1
2006.09.20	704,0	44,23	11 717	E1
2006.10.02	645,0	43,86	11 619	E2
2006.10.16	621,0	46,91	12 051	E1
2006.10.30	570,0	44,63	11 287	E1
2006.11.14	579,0	45,38	11 386	E1
2006.11.24	525,0	41,48	10 324	E1
2006.12.05	623,0	48,07	11 965	E1
2006.12.15	580,0	46,01	11 498	E1
2007.01.02	519,0	42,30	10 571	E1
2007.01.18	539,0	43,79	10 286	E1
2007.02.01	573,0	43,56	10 232	E1
2007.02.12	638,0	46,93	11 305	E6
2007.02.18	714,0	48,60	12 340	M8
2007.03.02	590,0	45,13	11 097	E7
2007.03.14	616,0	44,52	11 309	E1
2007.03.30	588,0	45,61	11 580	E1
2007.04.12	592,0	44,01	11 570	E1
2007.04.24	605,0	46,06	12 247	E1
2007.05.04	628,0	42,39	11 272	E1
2007.05.18	658,0	47,56	12 836	E1
2007.06.04	709,0	49,18	13 667	E1
2007.06.14	664,0	46,55	12 983	E1
2007.07.11	689,0	44,04	12 415	E1
2007.07.27	659,0	43,96	12 173	E1
2007.08.03	227,0	15,00	4 154	E8
2007.08.13	625,0	41,42	11 469	E1
2007.08.24	666,0	42,60	11 756	E1
2007.09.06	610,0	43,87	12 235	E1
2007.09.15	609,0	45,68	12 235	E1
2007.09.21	612,0	43,41	12 194	E1
2007.10.04	625,0	42,99	12 076	E1
2007.10.20	647,0	47,19	13 067	E1
2007.11.05	572,0	44,81	12 587	E1
2007.11.13	648,0	46,92	13 368	E1
2007.11.26	552,0	44,91	12 930	E1
2007.12.08	558,0	45,15	12 999	E1
2007.12.18	534,0	43,28	12 374	E1
2007.12.29	336,0	28,54	8 274	O6
2008.01.02	386,0	25,81	7 482	O7
2008.01.10	576,0	42,63	12 358	E1
2008.01.25	577,0	45,29	12 994	E1
2008.02.08	546,0	43,49	12 477	E1
2008.02.20	563,0	42,91	12 740	E1
2008.03.03	638,0	43,45	12 987	E1
2008.03.14	581,0	45,33	13 504	E1
2008.03.29	478,0	35,93	10 740	M8
2008.04.02	627,0	44,33	12 940	E1
2008.04.09	561,0	37,29	10 885	E1
2008.04.20	627,0	43,63	12 736	E1
2008.04.30	558,0	42,56	12 636	E1
2008.05.18	590,0	42,63	12 998	E1
2008.05.27	636,0	42,36	13 000	E1
2008.06.06	490,0	35,14	10 784	E1
2008.06.11	683,0	45,92	14 093	E1
2008.07.07	579,0	42,47	13 246	E1
2008.07.22	544,0	39,07	12 186	E1
2008.07.28	647,0	43,48	13 387	E1
2008.08.01	229,0	16,40	4 935	E1
2008.08.07	571,0	35,22	10 566	NA
2008.08.22	607,0	40,90	12 184	E1
2008.08.23	544,0	37,51	11 489	O8
2008.08.29	166,0	11,20	3 490	O9
2008.08.29	556,0	37,58	11 233	M9
2008.09.08	614,0	45,35	13 691	E1
2008.09.15	614,0	42,22	12 746	E1
2008.09.22	601,0	46,34	13 897	E1
2008.10.08	564,0	42,30	12 432	E1
2008.10.20	647,0	42,30	12 474	E1
2008.10.31	422,0	31,46	8 711	E9
2008.11.03	593,0	40,60	10 999	G2
2008.11.13	586,0	44,22	11 493	G2
2008.11.25	521,0	42,36	10 670	G3
2008.12.06	564,0	44,91	10 954	G4
2008.12.13	515,0	38,48	9 077	O3
2009.01.07	622,0	47,71	10 778	G3
2009.01.22	605,0	43,16	10 570	O3
2009.02.04	305,0	21,60	5 635	NA
2009.02.08	290,0	23,05	6 014	M10
2009.02.14	477,7	36,90	10 515	J3
2009.02.16	528,0	37,48	9 516	G2
2009.03.07	572,0	42,49	10 958	G2
2009.03.30	530,0	41,15	10 654	G3
2009.04.21	461,0	33,72	8 966	G2
2009.05.07	477,0	35,46	9 464	G3
2009.05.27	593,0	40,13	10 992	O3
2009.06.17	607,0	41,67	12 038	G3
2009.07.07	649,5	46,54	14 330	G2
2009.07.17	580,8	40,76	11 857	G3
2009.07.31	603,0	42,05	12 401	G3
2009.08.16	656,0	46,92	14 071	G5
2009.09.10	519,0	44,21	12 993	G3
2009.09.22	625,0	43,32	12 732	G3
2009.10.14	616,0	40,60	11 851	O3
2009.11.02	574,0	44,20	13 035	G3
2009.11.20	647,0	46,85	13 722	G5
2009.12.08	690,0	48,67	14 401	G3
2009.12.19	351,0	28,38	8 313	G6
