id	datum	ido	varos	stadion	nezoszam	ellenfel	lott	kapott	tetmeccs
395	1962.10.28	14:00:00	Budapest	Népstadion	65000	Ausztria	2	0	
396	1962.11.07	14:00:00	Budapest	Népstadion	40000	Wales	3	1	EB-sel-1964
397	1962.11.11		Párizs	Colombes-i stadion	60000	Franciaország	3	2	
398	1963.03.20		Cardiff	Ninian-park	40000	Wales	1	1	EB-sel-1964
399	1963.05.05		Stockholm	Rasunda-stadion	20000	Svédország	1	2	
400	1963.05.19	17:00:00	Budapest	Népstadion	45000	Dánia	6	0	
401	1963.06.02		Prága	Strahovi-stadion	32000	Csehszlovákia	2	2	
402	1963.09.22		Moszkva	Lenin-stadion	85000	Szovjetunió	1	1	
403	1963.10.06		Belgrád	Hadsereg-stadion	65000	Jugoszlávia	0	2	
404	1963.10.19		Berlin	Walter Ulbricht-stadion	60000	NDK	2	1	EB-sel-1964
405	1963.10.27	14:00:00	Budapest	Népstadion	70000	Ausztria	2	1	
406	1963.11.03	14:00:00	Budapest	Népstadion	40000	NDK	3	3	EB-sel-1964
407	1964.04.25		Párizs	Colombes-i stadion	45000	Franciaország	3	1	EB-sel-1964
408	1964.05.03		Bécs	Práter-stadion	75000	Ausztria	0	1	
409	1964.05.23	17:30:00	Budapest	Népstadion	80000	Franciaország	2	1	EB-sel-1964
410	1964.06.17		Madrid	Santiago Bernabeu	75000	Spanyolország	1	2	EB-1964
411	1964.06.20		Barcelona	Nou Camp	3000	Dánia	3	1	EB-1964
412	1964.10.04		Bern	Wankdorf-stadion	40000	Svájc	2	0	
413	1964.10.11	15:00:00	Budapest	Népstadion	65000	Csehszlovákia	2	2	
414	1964.10.25	14:30:00	Budapest	Népstadion	30000	Jugoszlávia	2	1	
415	1965.05.05	15:00:00	London	Wembley-stadion	50000	Anglia	0	1	
416	1965.05.23		Lipcse		106000	NDK	1	1	VB-sel-1966
417	1965.06.13		Bécs	Práter-stadion	72000	Ausztria	1	0	VB-sel-1966
418	1965.06.27	18:00:00	Budapest	Népstadion	25000	Olaszország	2	1	
419	1965.09.05	16:00:00	Budapest	Népstadion	80000	Ausztria	3	0	VB-sel-1966
420	1965.10.09	15:00:00	Budapest	Népstadion	80000	NDK	3	2	VB-sel-1966
421	1966.05.03		Chorzow		105000	Lengyelország	1	1	
422	1966.05.08		Zágráb	Maksimir-stadion	25000	Jugoszlávia	0	2	
423	1966.06.05	18:00:00	Budapest	Népstadion	35000	Svájc	3	1	
424	1966.07.13		Manchester	Old Trafford	50000	Portugália	1	3	VB-1966
425	1966.07.15		Liverpool	Goodison Park	50000	Brazília	3	1	VB-1966
426	1966.07.20		Manchester	Old Trafford	30000	Bulgária	3	1	VB-1966
427	1966.07.23		Sunderland	Roker-park	25000	Szovjetunió	1	2	VB-1966
428	1966.09.07		Rotterdam	Feyenoord-stadion	65000	Hollandia	2	2	EB-sel-1968
429	1966.09.21	18:30:00	Budapest	Népstadion	30000	Dánia	6	0	EB-sel-1968
430	1966.09.28	18:30:00	Budapest	Népstadion	25000	Franciaország	4	2	
431	1966.10.30	14:00:00	Budapest	Népstadion	25000	Ausztria	3	1	
432	1967.04.23	16:30:00	Budapest	Népstadion	30000	Jugoszlávia	1	0	
433	1967.05.10	19:15:00	Budapest	Népstadion	30000	Hollandia	2	1	EB-sel-1968
434	1967.05.24	19:00:00	Koppenhága	Edraets-park	35000	Dánia	2	0	EB-sel-1968
435	1967.09.06	19:30:00	Bécs	Práter-stadion	68000	Ausztria	3	1	
436	1967.09.27	18:00:00	Budapest	Népstadion	72000	NDK	3	1	EB-sel-1968
437	1967.10.29	14:00:00	Lipcse	Központi-stadion	55000	NDK	0	1	EB-sel-1968
438	1968.05.04	17:00:00	Budapest	Népstadion	80000	Szovjetunió	2	0	EB-sel-1968
439	1968.05.11	17:30:00	Moszkva	Luzniki-stadion	100000	Szovjetunió	0	3	EB-sel-1968
440	1969.05.25	17:30:00	Budapest	Népstadion	82344	Csehszlovákia	2	0	VB-sel-1970
441	1969.06.08	15:30:00	Dublin	Dalymount-park	30000	Írország	2	1	VB-sel-1970
442	1969.06.15	13:30:00	Koppenhága	Edraets-park	50000	Dánia	2	3	VB-sel-1970
443	1969.09.14	15:30:00	Prága	Sparta-stadion	40000	Csehszlovákia	3	3	VB-sel-1970
444	1969.09.24	19:00:00	Stockholm	Rasunda-stadion	11300	Svédország	0	2	
445	1969.10.22	18:15:00	Budapest	Népstadion	45000	Dánia	3	0	VB-sel-1970
446	1969.11.05	18:15:00	Budapest	Népstadion	28000	Írország	4	0	VB-sel-1970
447	1969.12.03	20:00:00	Marseille	Stade Vélodrome	11000	Csehszlovákia	1	4	VB-sel-1970
448	1970.04.12	18:15:00	Belgrád	JNA-stadion	10000	Jugoszlávia	2	2	
449	1970.05.02	17:00:00	Budapest	Népstadion	10000	Lengyelország	2	0	
450	1970.05.16	17:30:00	Budapest	Népstadion	30000	Svédország	1	2	
451	1970.09.09	19:30:00	Nürnberg	Frankenstadion	67400	Németország	1	3	
452	1970.09.27	15:30:00	Budapest	Népstadion	26774	Ausztria	1	1	
453	1970.10.07	19:00:00	Oslo	Ullevaal-stadion	15000	Norvégia	3	1	EB-sel-1972
454	1970.11.15	19:00:00	Bázel	St.Jacob-stadion	30000	Svájc	1	0	
455	1971.04.04	15:00:00	Bécs	Práter-stadion	41300	Ausztria	2	0	
456	1971.04.24	16:30:00	Budapest	Népstadion	47000	Franciaország	1	1	EB-sel-1972
457	1971.05.19	17:30:00	Szófia	Levski-stadion	52000	Bulgária	0	3	EB-sel-1972
458	1971.07.22	5:00:00	Rio de Janeiro	Maracana-stadion	88700	Brazília	0	0	
459	1971.09.01	16:30:00	Budapest	Népstadion	43344	Jugoszlávia	2	1	
460	1971.09.25	17:30:00	Budapest	Népstadion	71300	Bulgária	2	0	EB-sel-1972
461	1971.10.09	15:00:00	Párizs	Colombes-i stadion	38600	Franciaország	2	0	EB-sel-1972
462	1971.10.27	17:30:00	Budapest	Népstadion	30000	Norvégia	4	0	EB-sel-1972
463	1971.11.14	14:45:00	Gzira	Gzira-stadion	12000	Málta	2	0	VB-sel-1974
464	1972.01.12	20:30:00	Madrid	Santiago Bernabeu	28872	Spanyolország	0	1	
465	1972.03.29	18:00:00	Budapest	Népstadion	55000	Németország	0	2	
466	1972.04.29	17:00:00	Budapest	Népstadion	72000	Románia	1	1	EB-1972
467	1972.05.06	18:30:00	Budapest	Megyeri út	11344	Málta	3	0	VB-sel-1974
468	1972.05.14	16:00:00	Bukarest	August 23-stadion	73200	Románia	2	2	EB-1972
469	1972.05.17	20:00:00	Belgrád	Partizan-stadion	55000	Románia	2	1	EB-1972
470	1972.05.25	19:00:00	Stockholm	Rasunda-stadion	32000	Svédország	0	0	VB-sel-1974
471	1972.06.14	20:00:00	Brüsszel	Emile Verse-stadion	3000	Szovjetunió	0	1	EB-1972
472	1972.06.17	20:00:00	Liege	Dufrasne-stadion	6184	Belgium	1	2	EB-1972
473	1972.08.27	15:00:00	Nürnberg	Franken-stadion	3000	Irán	5	0	OJ
474	1972.08.31		Augsburg	Rosenau-stadion	5000	Dánia	2	0	OJ
475	1972.09.03	15:00:00	Passau	Dreiflüsse-stadion	8000	NDK	2	0	OJ
476	1972.09.10		München	Olimpiai-stadion	50000	Lengyelország	1	2	OJ-döntő.
477	1972.10.15	15:30:00	Bécs	Práter-stadion	75000	Ausztria	2	2	VB-sel-1974
478	1973.04.29	17:00:00	Budapest	Népstadion	77866	Ausztria	2	2	VB-sel-1974
479	1973.05.16	19:00:00	Karl-Marx-Stadt	Thälmann-stadion	42000	NDK	1	2	
480	1973.06.13	18:00:00	Budapest	Népstadion	80000	Svédország	3	3	VB-sel-1974
481	1973.09.26	18:15:00	Belgrád		25000	Jugoszlávia	1	1	
482	1973.10.13	15:30:00	Koppenhága		25000	Dánia	2	2	
483	1973.11.21	17:30:00	Budapest	Népstadion	6565	NDK	0	1	
484	1974.03.31	15:00:00	Zalaegerszeg		21343	Bulgária	3	1	
485	1974.04.17	19:30:00	Dortmund	Westfalen-stadion	54000	Németország	0	5	
486	1974.05.29	17:00:00	Székesfehérvár	Sóstói-stadion	17300	Jugoszlávia	3	2	
487	1974.09.28	15:30:00	Bécs	Práter-stadion	40000	Ausztria	0	1	
488	1974.10.13	15:30:00	Luxembourg	Municipal-stadion	3000	Luxemburg	4	2	EB-sel-1976
489	1974.10.30	20:30:00	Cardiff		15000	Wales	0	2	EB-sel-1976
490	1974.11.10	14:00:00	Várna	Gagarin-stadion	8000	Bulgária	0	0	
491	1974.12.04		Szolnok	Tiszaligeti stadion	20000	Svájc	1	0	
492	1975.03.26	20:30:00	Párizs	Parc des Princes	25000	Franciaország	0	2	
493	1975.04.02	19:30:00	Bécs	Práter-stadion	75000	Ausztria	0	0	EB-sel-1976
494	1975.04.16	17:30:00	Budapest	Népstadion	22700	Wales	1	2	EB-sel-1976
495	1975.05.07	20:00:00	Budapest	Népstadion	20000	Bulgária	2	0	OJ-sel.
496	1975.06.07	17:00:00	Szófia	Levski-stadion	25000	Bulgária	0	4	OJ-sel.
497	1975.08.10	16:30:00	Teherán		38000	Irán	2	1	
498	1975.09.24	17:15:00	Budapest	Népstadion	35000	Ausztria	2	1	EB-sel-1976
499	1975.10.08	17:30:00	Lódz		20000	Lengyelország	2	4	
500	1975.10.15	17:00:00	Pozsony	Slovan-stadion	35000	Csehszlovákia	1	1	
501	1975.10.19	13:30:00	Szombathely		10000	Luxemburg	8	1	EB-sel-1976
502	1976.03.27	17:45:00	Budapest	Népstadion	25000	Argentína	2	0	
503	1976.04.17	17:30:00	Banja Luka		11000	Jugoszlávia	0	0	
504	1976.04.30	20:00:00	Lausanne		10000	Svájc	1	0	
505	1976.05.22	20:00:00	Budapest	Népstadion	8726	Franciaország	1	0	
506	1976.05.26	20:00:00	Budapest	Népstadion	15000	Szovjetunió	1	1	
507	1976.06.12	20:00:00	Budapest	Népstadion	20000	Ausztria	2	0	
508	1976.09.08	19:00:00	Stockholm	Rasunda-stadion	10000	Svédország	1	1	
509	1976.09.22	17:30:00	Berlin	Jahn-stadion	20000	NDK	1	1	
510	1976.10.09		Athen	Karaiskakis-stadion	29780	Görögország	1	1	VB-sel-1978
511	1976.10.13		Bécs	Práter-stadion	40000	Ausztria	4	2	
512	1977.02.10	2:30:00	Lima		50000	Peru	2	3	
513	1977.02.23	2:30:00	Puebla		40000	Mexikó	1	1	
514	1977.02.28	1:00:00	Buenos Aires		60000	Argentína	1	5	
515	1977.03.15	15:30:00	Teherán	Amjadieh-stadion	25000	Irán	2	0	
516	1977.03.27	17:00:00	Alicante		25000	Spanyolország	1	1	
517	1977.04.13	18:00:00	Budapest	Népstadion	30000	Lengyelország	2	1	
518	1977.04.20	18:00:00	Budapest	Népstadion	45000	Csehszlovákia	2	0	
519	1977.04.30	19:00:00	Budapest	Népstadion	73000	Szovjetunió	2	1	VB-sel-1978
520	1977.05.18	16:30:00	Tbiliszi		75000	Szovjetunió	0	2	VB-sel-1978
521	1977.05.28	20:00:00	Budapest	Népstadion	70000	Görögország	3	0	VB-sel-1978
522	1977.10.05	18:00:00	Budapest	Népstadion	16770	Jugoszlávia	4	3	
523	1977.10.12	18:00:00	Budapest	Népstadion	12776	Svédország	3	0	
524	1977.10.29	17:00:00	Budapest	Népstadion	60000	Bolívia	6	0	VB-sel-1978
525	1977.11.09	17:00:00	Prága	Sparta-stadion	10000	Csehszlovákia	1	1	
526	1977.11.30	2:00:00	La Paz	Olimpiai stadion	55000	Bolívia	3	2	VB-sel-1978
527	1978.04.15	17:00:00	Budapest	Népstadion	40000	Csehszlovákia	2	1	
528	1978.05.24	19:45:00	London	Wembley-stadion	74000	Anglia	1	4	
529	1978.06.02	23:00:00	Buenos Aires	Monumental-stadion	78000	Argentína	1	2	VB-1978
530	1978.06.06	17:45:00	Mar del Plata	Minella-stadion	37700	Olaszország	1	3	VB-1978
531	1978.06.10	17:45:00	Mar del Plata	Minella-stadion	25000	Franciaország	1	3	VB-1978
532	1978.09.20	17:30:00	Helsinki	Olimpiai stadion	5432	Finnország	1	2	EB-sel-1980
533	1978.10.11	18:00:00	Budapest	Népstadion	36400	Szovjetunió	2	0	EB-sel-1980
534	1978.10.29	14:00:00	Szaloniki	Kastanzogliu-stadion	10000	Görögország	1	4	EB-sel-1980
535	1978.11.15	20:00:00	Frankfurt	Wald-stadion	40000	Németország	0	0	
536	1979.03.28	18:00:00	Budapest	Népstadion	10479	NDK	3	0	
537	1979.04.04	17:00:00	Chorzow	Slaski-stadion	50000	Lengyelország	1	1	
538	1979.05.02	18:30:00	Budapest	Népstadion	17230	Görögország	0	0	EB-sel-1980
539	1979.05.19	16:00:00	Tbiliszi		75000	Szovjetunió	2	2	EB-sel-1980
540	1979.09.12	17:00:00	Nyíregyháza		27000	Csehszlovákia	2	1	
541	1979.09.26	19:30:00	Bécs	Práter-stadion	56870	Ausztria	1	3	
542	1979.10.17	14:00:00	Debrecen	Nagyerdei stadion	18000	Finnország	3	1	EB-sel-1980
543	1979.10.26	17:30:00	Budapest	Népstadion	5400	USA	0	2	
544	1980.03.26	17:15:00	Budapest	Népstadion	15000	Lengyelország	2	1	
545	1980.04.30	16:30:00	Kassa		35000	Csehszlovákia	0	1	
546	1980.05.31	20:00:00	Budapest	Népstadion	10000	Skócia	3	1	
547	1980.06.04	18:00:00	Budapest	Népstadion	30000	Ausztria	1	1	
548	1980.08.20	18:45:00	Budapest	Népstadion	19550	Svédország	2	0	
549	1980.08.27	20:00:00	Budapest	Népstadion	17700	Szovjetunió	1	4	
550	1980.09.24	19:00:00	Budapest	Népstadion	13800	Spanyolország	2	2	
551	1980.10.08	19:00:00	Bécs	Práter-stadion	9300	Ausztria	1	3	
552	1980.11.19	17:00:00	Halle	Kurt Wabbel-stadion	14900	NDK	0	2	
553	1981.04.15	20:30:00	Valencia	Luis Casanova-stadion	25700	Spanyolország	3	0	
554	1981.04.28	20:00:00	Luzern	Allmend-stadion	22300	Svájc	2	2	VB-sel-1982
555	1981.05.13	20:00:00	Budapest	Népstadion	62800	Románia	1	0	VB-sel-1982
556	1981.05.20	19:00:00	Oslo	Ullevaal-stadion	28700	Norvégia	2	1	VB-sel-1982
557	1981.06.06	20:00:00	Budapest	Népstadion	68600	Anglia	1	3	VB-sel-1982
558	1981.09.23	16:00:00	Bukarest	August 23-stadion	75000	Románia	0	0	VB-sel-1982
559	1981.10.14	18:00:00	Budapest	Népstadion	69600	Svájc	3	0	VB-sel-1982
560	1981.10.31	18:00:00	Budapest	Népstadion	68000	Norvégia	4	1	VB-sel-1982
561	1981.11.18	20:45:00	London	Wembley-stadion	92000	Anglia	0	1	VB-sel-1982
562	1982.02.11	6:30:00	Auckland	Mt. Smalt-stadion	20000	Új-Zéland	2	1	
563	1982.02.14	3:30:00	Christchurch		22000	Új-Zéland	2	1	
564	1982.03.24	18:00:00	Budapest	Népstadion	50000	Ausztria	2	3	
565	1982.04.18	18:00:00	Budapest	Népstadion	25000	Peru	1	2	
566	1982.06.15	21:00:00	Elche	Nuevo Estadio Altabix	20000	Salvador	10	1	VB-1982
567	1982.06.18	21:00:00	Alicante	Jose Rico Perez-stadion	38000	Argentína	1	4	VB-1982
568	1982.06.22	21:00:00	Elche	Estadio Nuevo Altabix	25000	Belgium	1	1	VB-1982
569	1982.09.22	16:30:00	Győr		8000	Törökország	5	0	
570	1982.10.06	20:30:00	Párizs	Parc des Princes	15000	Franciaország	0	1	
571	1983.03.27	15:00:00	Luxembourg	Municipal-stadion	4000	Luxemburg	6	2	EB-sel-1984
572	1983.04.13	21:00:00	Coimbra	Cidade-stadion	15000	Portugália	0	0	
573	1983.04.17	19:00:00	Budapest	Népstadion	15000	Luxemburg	6	2	EB-sel-1984
574	1983.04.27	20:45:00	London	Wembley-stadion	60000	Anglia	0	2	EB-sel-1984
575	1983.05.15	20:00:00	Budapest	Népstadion	17000	Görögország	2	3	EB-sel-1984
576	1983.06.01	19:00:00	Koppenhága	Edraets-park	50000	Dánia	1	3	EB-sel-1984
577	1983.09.07	20:15:00	Budapest	Népstadion	30000	Németország	1	1	
578	1983.10.12	18:00:00	Budapest	Népstadion	25000	Anglia	0	3	EB-sel-1984
579	1983.10.26	18:00:00	Budapest	Népstadion	8000	Dánia	1	0	EB-sel-1984
580	1983.12.03	14:00:00	Szaloniki	Kastanzoglu-stadion	3000	Görögország	2	2	EB-sel-1984
581	1984.01.18	20:30:00	Cadiz		25000	Spanyolország	1	0	
582	1984.03.31	16:00:00	Szabadka		32000	Jugoszlávia	1	2	
583	1984.04.04	14:00:00	Isztambul	Inönü-stadion	50000	Törökország	6	0	
584	1984.05.23	20:00:00	Székesfehérvár	Sóstói-stadion	5000	Norvégia	0	0	
585	1984.05.31	20:00:00	Budapest	Üllői út	10000	Spanyolország	1	1	
586	1984.06.06	20:00:00	Brüsszel	Heysel-stadion	15000	Belgium	2	2	
587	1984.08.22	19:00:00	Budapest	Népstadion	12000	Svájc	3	0	
588	1984.08.25	19:00:00	Budapest	Népstadion	10000	Mexikó	0	2	
589	1984.09.26	19:00:00	Budapest	Népstadion	45000	Ausztria	3	1	VB-sel-1986
590	1984.10.17	20:00:00	Rotterdam	Feyenoord-stadion	27000	Hollandia	2	1	VB-sel-1986
591	1984.11.17	17:00:00	Limasszol	Páfoszi-stadion	12000	Ciprus	2	1	VB-sel-1986
592	1985.01.29	20:15:00	Hamburg	Volkspark-stadion	25000	Németország	1	0	
593	1985.04.03	16:30:00	Budapest	Népstadion	40000	Ciprus	2	0	VB-sel-1986
594	1985.04.17	19:30:00	Bécs	Hanappi-stadion	22000	Ausztria	3	0	VB-sel-1986
595	1985.05.14	19:30:00	Budapest	Népstadion	74000	Hollandia	0	1	VB-sel-1986
596	1985.10.16	19:30:00	Cardiff	Ninien-park	4000	Wales	3	0	
597	1985.12.10	23:00:00	Irapuato	Revolucion stadion	30000	Dél-Korea	1	0	
598	1985.12.12	3:45:00	Monterrey	Tecnológico-stadion	3000	Algéria	3	1	
599	1985.12.14	19:00:00	Toluca	Nemesio-stadion	35000	Mexikó	0	2	
600	1986.01.30	14:00:00	Doha	Al Ahli-stadion	2500	Ázsia-válogatott	3	0	
601	1986.02.01	16:30:00	Doha	Al Ahli-stadion	2500	Ázsia-válogatott	2	0	
602	1986.02.02	18:00:00	Doha	Al-Kabir-stadion	2000	Katar	3	0	
603	1986.03.16	15:30:00	Budapest	Népstadion	72000	Brazília	3	0	
604	1986.06.02	20:00:00	Irapuato	Sergio Chavez stadion	15000	Szovjetunió	0	6	VB-1986
605	1986.06.06	20:00:00	Irapuato	Sergio Chavez stadion	10000	Kanada	2	0	VB-1986
606	1986.06.09	20:00:00	Leon	Nuevo Campo-stadion	25900	Franciaország	0	3	VB-1986
607	1986.09.09	19:00:00	Oslo	Ullevaal-stadion	2917	Norvégia	0	0	
608	1986.10.15	18:00:00	Budapest	Népstadion	20000	Hollandia	0	1	EB-sel-1988
609	1986.11.12	16:00:00	Athen	Olimpiai-stadion	25000	Görögország	1	2	EB-sel-1988
610	1987.02.08	14:00:00	Nicosia	Makarios-stadion	10000	Ciprus	1	0	EB-sel-1988
611	1987.04.29	20:00:00	Rotterdam	Feyenoord-stadion	55000	Hollandia	0	2	EB-sel-1988
612	1987.05.17	18:00:00	Budapest	Népstadion	14000	Lengyelország	5	3	EB-sel-1988
613	1987.07.28	20:00:00	Lipcse	Központi-stadion	74000	NDK	0	0	
614	1987.09.09	21:00:00	Glasgow	Hampden-park	25000	Skócia	0	2	
615	1987.09.23	17:00:00	Varsó	Legia-stadion	10000	Lengyelország	2	3	EB-sel-1988
616	1987.10.14	18:30:00	Budapest	Népstadion	15000	Görögország	3	0	EB-sel-1988
617	1987.11.18	18:00:00	Budapest	Népstadion	35000	Németország	0	0	
618	1987.12.02	17:30:00	Budapest	Üllői út	5000	Ciprus	1	0	EB-sel-1988
619	1988.03.16	17:00:00	Budapest	Népstadion	3000	Törökország	1	0	
620	1988.03.26	20:00:00	Brüsszel	Heysel-stadion	10000	Belgium	0	3	
621	1988.04.27	17:00:00	Budapest	Népstadion	35000	Anglia	0	0	
622	1988.05.04	18:00:00	Budapest	Népstadion	4200	Izland	3	0	
623	1988.05.10	18:00:00	Budapest	Népstadion	7000	Dánia	2	2	
624	1988.05.17	18:00:00	Budapest	Népstadion	8000	Ausztria	0	4	
625	1988.08.31	19:30:00	Linz	Városi stadion	12000	Ausztria	0	0	
626	1988.09.21	19:30:00	Reykjavik	Laugardar-stadion	500	Izland	3	0	
627	1988.10.19	18:00:00	Budapest	Népstadion	16120	Észak-Írország	1	0	VB-sel-1990
628	1988.11.15	19:00:00	Athén	Olympiakos-stadion	500	Görögország	0	3	
629	1988.12.11	14:15:00	Valetta	TaQuali	10000	Málta	2	2	VB-sel-1990
630	1989.03.08	18:00:00	Budapest	Népstadion	34000	Írország	0	0	VB-sel-1990
631	1989.04.04	17:30:00	Budapest	Népstadion	8000	Svájc	3	0	
632	1989.04.12	18:00:00	Budapest	Népstadion	20000	Málta	1	1	VB-sel-1990
633	1989.04.26	15:30:00	Taranto	Iacovone-stadion	30000	Olaszország	0	4	
634	1989.06.04	16:00:00	Dublin	Lansdowne Park	50000	Írország	0	2	VB-sel-1990
635	1989.09.06	21:00:00	Belfast	Windsor Park	15000	Észak-Írország	2	1	VB-sel-1990
636	1989.10.11	18:00:00	Budapest	Népstadion	30000	Spanyolország	2	2	VB-sel-1990
637	1989.10.25	17:30:00	Budapest	Népstadion	4000	Görögország	1	1	
638	1989.11.15	15:00:00	Sevilla	Pizjuan-stadion	50000	Spanyolország	0	4	VB-sel-1990
639	1990.03.20	18:00:00	Budapest	Üllői út	12000	USA	2	0	
640	1990.03.28	17:00:00	Budapest	Népstadion	18700	Franciaország	1	3	
641	1990.04.11	19:00:00	Salzburg	Lehen-stadion	14300	Ausztria	0	3	
642	1990.05.28	20:30:00	Nimes	Costieres-stadion	500	Arab Emírségek	3	0	
643	1990.06.02	18:00:00	Budapest	Fáy utca	4800	Kolumbia	3	1	
644	1990.09.05	17:00:00	Budapest	Megyeri út	2800	Törökország	4	1	
645	1990.09.12	21:00:00	London	Wembley-stadion	51249	Anglia	0	1	
646	1990.10.10	19:00:00	Bergen	Brann-stadion	8000	Norvégia	0	0	EB-sel-1992
647	1990.10.17	19:00:00	Budapest	Népstadion	32000	Olaszország	1	1	EB-sel-1992
648	1990.10.31	18:00:00	Budapest	Hungária körút	4000	Ciprus	4	2	EB-sel-1992
649	1991.01.17	16:00:00	Thiruvananthapuram		21300	India	2	1	
650	1991.02.20	3:15:00	Rosario	Arroyito-stadion	66780	Argentína	0	2	
651	1991.03.27	22:00:00	Santander	Sardinero-stadion	35000	Spanyolország	4	2	
652	1991.04.03	16:00:00	Limasszol	Tsirion Kentro	2400	Ciprus	2	0	EB-sel-1992
653	1991.04.17	19:00:00	Budapest	Népstadion	62000	Szovjetunió	0	1	EB-sel-1992
654	1991.05.01	20:15:00	Salerno	Arechi-stadion	35760	Olaszország	1	3	EB-sel-1992
655	1991.09.11	20:30:00	Győr		5600	Írország	1	2	
656	1991.09.25	18:00:00	Moszkva	Luzniki-stadion	40000	Szovjetunió	2	2	EB-sel-1992
657	1991.10.09	20:00:00	Székesfehérvár	Sóstói-stadion	6300	Belgium	0	2	
658	1991.10.30	20:00:00	Szombathely		8000	Norvégia	0	0	EB-sel-1992
659	1991.12.04	3:00:00	León	Nuevo Campo-stadion	32000	Mexikó	0	3	
660	1991.12.08	3:00:00	San Salvador	Cuscatlan-stadion	45000	Salvador	1	1	
661	1992.03.25	19:30:00	Budapest	Népstadion	6500	Ausztria	2	1	
662	1992.04.29	16:00:00	Ungvár	Avanhard-stadion	11000	Ukrajna	3	1	
663	1992.05.12	20:30:00	Budapest	Népstadion	30000	Anglia	0	1	
664	1992.05.27	19:00:00	Stockholm	Rasunda-stadion	8169	Svédország	1	2	
665	1992.06.03	19:30:00	Budapest	Népstadion	11700	Izland	1	2	VB-sel-1994
666	1992.08.26	16:30:00	Nyíregyháza		12800	Ukrajna	2	1	
667	1992.09.09	20:00:00	Luxembourg	Municipal-stadion	3026	Luxemburg	3	0	VB-sel-1994
668	1992.09.23	17:00:00	Budapest	Üllői út	3000	Izrael	0	0	
669	1992.10.11	20:00:00	Doha	Al-Kabir-stadion	1000	Katar	4	1	
670	1992.10.13	20:00:00	Doha	Al-Kabir stadion	1000	Katar	1	1	
671	1992.11.11	18:00:00	Szaloniki	Kaftanzoglio-stadion	47800	Görögország	0	0	VB-sel-1994
672	1993.03.07	5:30:00	Fukuoka	Hakatanomori-stadion	32300	Japán	1	0	
673	1993.03.10	11:00:00	Nagoja	Mizuho-stadion	10700	USA	0	0	
674	1993.03.31	18:00:00	Budapest	Népstadion	28400	Görögország	0	1	VB-sel-1994
675	1993.04.15	20:00:00	Budapest	Népstadion	4800	Svédország	0	2	
676	1993.04.28	19:00:00	Moszkva	Luzniki-stadion	24700	Oroszország	0	3	VB-sel-1994
677	1993.05.29	16:30:00	Dublin		25000	Írország	4	2	
678	1993.06.16	19:00:00	Reykjavik	Laugardalsvöllur	3140	Izland	0	2	VB-sel-1994
679	1993.09.08	19:00:00	Budapest	Üllői út	8760	Oroszország	1	3	VB-sel-1994
680	1993.10.27	19:00:00	Budapest	Üllői út	2240	Luxemburg	1	0	VB-sel-1994
681	1994.03.09	19:15:00	Budapest	Népstadion	6700	Svájc	1	2	
682	1994.03.23	19:30:00	Linz	Linzer-stadion	16700	Ausztria	1	1	
683	1994.04.06	19:00:00	Szombathely	Rohonci út	4300	Szlovénia	0	1	
684	1994.04.20	19:15:00	Koppenhága	Edraets-park	12152	Dánia	1	3	
685	1994.05.04	16:00:00	Krakkó	Hutnik-stadion	6600	Lengyelország	2	3	
686	1994.05.18	18:00:00	Győr		3400	Horvátország	2	2	
687	1994.06.01	20:15:00	Eindhoven	PSV-stadion	27750	Hollandia	1	7	
688	1994.06.08	20:00:00	Brüsszel	Heysel-stadion	23200	Belgium	1	3	
689	1994.09.07	20:00:00	Budapest	Népstadion	28000	Törökország	2	2	EB-sel-1996
690	1994.10.12	18:00:00	Budapest	Népstadion	20000	Németország	0	0	
691	1994.11.16	19:00:00	Stockholm	Rasunda-stadion	27571	Svédország	0	2	EB-sel-1996
692	1994.12.14	4:45:00	Mexikóváros	Estadio Azteca	55000	Mexikó	1	5	
693	1995.03.08	17:00:00	Budapest	Fáy utca	3900	Lettország	3	1	
694	1995.03.29	20:15:00	Budapest	Népstadion	13800	Svájc	2	2	EB-sel-1996
695	1995.04.26	20:00:00	Budapest	Népstadion	9300	Svédország	1	0	EB-sel-1996
696	1995.06.11	19:00:00	Reykjavik	Laugardahlsvöllur	4474	Izland	1	2	EB-sel-1996
697	1995.08.16	20:00:00	Siófok		9700	Izrael	0	2	
698	1995.09.06	19:00:00	Isztambul		50000	Törökország	0	2	EB-sel-1996
699	1995.10.11	20:30:00	Zürich	Hardturm-stadion	20000	Svájc	0	3	EB-sel-1996
700	1995.11.11	17:00:00	Budapest	Fáy utca	3214	Izland	1	0	EB-sel-1996
701	1996.04.10	17:00:00	Eszék	Gradski stadion	16000	Horvátország	1	4	
702	1996.04.24	18:00:00	Budapest	Népstadion	4000	Ausztria	0	2	
703	1996.05.18	16:00:00	London	Wembley-stadion	30000	Anglia	0	3	
704	1996.06.01	20:30:00	Budapest	Népstadion	25000	Olaszország	0	2	
705	1996.08.14	19:00:00	Siófok	Révész G. u.	6000	Arab Emírségek	3	1	
706	1996.09.01	18:30:00	Budapest	Népstadion	14300	Finnország	1	0	VB-sel-1998
707	1996.10.09	20:00:00	Oslo	Ullevaal-stadion	22500	Norvégia	0	3	VB-sel-1998
