id	datum	ido	varos	stadion	nezoszam	ellenfel	lott	kapott	tetmeccs
95	1924.04.06	16:15:00	Budapest	Hungária út	40000	Olaszország	7	1	
96	1924.05.04	16:00:00	Budapest	Hungária út	40000	Ausztria	2	2	
97	1924.05.18		Zürich		18000	Svájc	2	4	
98	1924.05.26		Párizs		7000	Lengyelország	5	0	OJ
99	1924.05.29		Párizs		8000	Egyiptom	0	3	OJ
100	1924.06.04		Le Havre		5000	Franciaország	1	0	
101	1924.08.31	16:30:00	Budapest	Üllői út	25000	Lengyelország	4	0	
102	1924.09.14		Bécs		45000	Ausztria	1	2	
103	1924.09.21	16:00:00	Budapest	Üllői út	35000	Németország	4	1	
104	1925.01.18		Milánó		18000	Olaszország	2	1	
105	1925.03.25	16:00:00	Budapest	Hungária út	32000	Svájc	5	0	
106	1925.05.05		Bécs		50000	Ausztria	1	3	
107	1925.05.21	17:30:00	Budapest	Hungária út	20000	Belgium	1	3	
108	1925.07.12		Stockholm		18000	Svédország	2	6	
109	1925.07.19		Krakkó	Wisla-pálya	8000	Lengyelország	2	0	
110	1925.09.20	15:30:00	Budapest	Üllői út	33000	Ausztria	1	1	
111	1925.10.04	15:30:00	Budapest	Üllői út	40000	Spanyolország	0	1	
112	1925.10.11		Prága		30000	Csehszlovákia	0	2	
113	1925.11.08	14:30:00	Budapest	Üllői út	20000	Olaszország	1	1	
114	1926.02.14		Brüsszel		28000	Belgium	2	0	
115	1926.05.02	17:00:00	Budapest	Hungária út	35000	Ausztria	0	3	
116	1926.06.06	17:00:00	Budapest	Üllői út	30000	Csehszlovákia	2	1	
117	1926.08.20	17:00:00	Budapest	Hungária út	9000	Lengyelország	4	1	
118	1926.09.19		Bécs		40000	Ausztria	3	2	
119	1926.11.14	14:15:00	Budapest	Üllői út	35000	Svédország	3	1	
120	1926.12.19		Vigo		15000	Spanyolország	2	4	
121	1926.12.26		Porto		10000	Portugália	3	3	
122	1927.04.10		Bécs		42000	Ausztria	0	6	
123	1927.04.10	16:30:00	Budapest	Üllői út	12000	Jugoszlávia	3	0	
124	1927.04.24		Prága		22000	Csehszlovákia	1	4	
125	1927.06.12	18:00:00	Budapest	Üllői út	20000	Franciaország	13	1	
126	1927.09.25	15:30:00	Budapest	Üllői út	38000	Ausztria	5	3	
127	1927.09.25		Zágráb		6000	Jugoszlávia	1	5	
128	1927.10.09	15:00:00	Budapest	Hungária út	40000	Csehszlovákia	1	2	
129	1928.03.25	15:00:00	Róma		25000	Olaszország	3	4	
130	1928.03.25	16:00:00	Budapest	Üllői út	10000	Jugoszlávia	2	1	
131	1928.04.22	16:30:00	Budapest	Üllői út	38000	Csehszlovákia	2	0	
132	1928.05.06	17:00:00	Budapest	Hungária út	33000	Ausztria	5	5	
133	1928.10.07		Bécs		40000	Ausztria	1	5	
134	1928.11.01	14:30:00	Budapest	Üllői út	20000	Svájc	3	1	
135	1929.02.24		Párizs		20000	Franciaország	0	3	
136	1929.04.14		Bern		19000	Svájc	5	4	
137	1929.05.05		Bécs		52000	Ausztria	2	2	
138	1929.09.08		Prága		28000	Csehszlovákia	1	1	
