kod	fnev
E 341(c) 	kelesztő
E 341(c) 	nedvességelnyelő
E 342 	emulgeálószer
E 342 	kelesztő
E 342 	nedvességelnyelő
E 350 	sav-szabályzó
E 351 	sav-szabályzó
E 352 	sav-szabályzó
E 353 	sav-szabályzó
E 354 	sav-szabályzó
E 355 	sav-szabályzó
E 356 	sav-szabályzó
E 357 	sav-szabályzó
E 363 	sav-szabályzó
E 380 	sav-szabályzó
E 385 	sav-szabályzó
E 400 	sűrítő anyag
E 400 	stabilizátor
E 400 	bevonóanyag
E 401 	sűrítő anyag
E 401 	stabilizátor
E 401 	emulgeálószer
E 401 	bevonóanyag
E 402 	emulgeálószer
E 402 	zselésítő
E 402 	stabilizátor
E 402 	sűrítő anyag
E 403 	emulgeálószer
E 403 	zselésítő
E 403 	stabilizátor
E 403 	sűrítő anyag
E 404 	emulgeálószer
E 404 	zselésítő
E 404 	stabilizátor
E 404 	sűrítő anyag
E 405 	emulgeálószer
E 405 	zselésítő
E 405 	stabilizátor
E 405 	sűrítő anyag
E 405 	oldószer
E 406 	emulgeálószer
E 406 	zselésítő
E 406 	sűrítő anyag
E 407 	sűrítő anyag
E 407 	zselésítő
E 407 	stabilizátor
E 407 	hordozó
E 407(a) 	emulgeálószer
E 410 	sűrítő anyag
E 410 	stabilizátor
E 412 	sűrítő anyag
E 412 	stabilizátor
E 413 	emulgeálószer
E 413 	sűrítő anyag
E 413 	stabilizátor
E 414 	emulgeálószer
E 414 	sűrítő anyag
E 414 	stabilizátor
E 415 	sűrítő anyag
E 415 	stabilizátor
E 416 	sűrítő anyag
E 416 	stabilizátor
E 417 	sűrítő anyag
E 417 	stabilizátor
E 418 	sűrítő anyag
E 418 	stabilizátor
E 420 	édesítőszer
E 420 	nedvesítőszer
E 420 	kelátképző
E 420 	hordozó
E 420 	testesítő
E 421 	nyírkosító
E 421 	édesítőszer
E 422 	nyírkosító
E 422 	édesítőszer
E 422 	tömegnövelő
E 422 	hordozó
E 425 	emulgeálószer
E 425 	stabilizátor
E 425 	sűrítő anyag
E 431 	emulgeálószer
E 431 	stabilizátor
E 431 	sűrítő anyag
E 432 	emulgeálószer
E 432 	stabilizátor
E 432 	sűrítő anyag
E 433 	emulgeálószer
E 433 	stabilizátor
E 433 	sűrítő anyag
E 434 	emulgeálószer
E 434 	stabilizátor
E 434 	sűrítő anyag
E 435 	emulgeálószer
E 435 	stabilizátor
E 435 	sűrítő anyag
E 436 	emulgeálószer
E 436 	stabilizátor
E 436 	sűrítő anyag
E 440 	emulgeálószer
E 440 	zselésítő
E 440 	stabilizátor
E 440 	sűrítő anyag
E 440 	zselésítő
E 440(a) 	emulgeálószer
E 440(a) 	zselésítő
E 440(a) 	stabilizátor
E 440(a) 	sűrítő anyag
E 440(b) 	stabilizátor, hordozó
E 441 	emulgeálószer
E 441 	zselésítő
E 441 	sűrítő anyag
E 444 	emulgeálószer
E 445 	emulgeálószer
E 450(a) 	emulgeálószer
E 450(a) 	sav-szabályzó
E 450(a) 	antioxidáns
E 450(b) 	emulgeálószer
E 450(b) 	sav-szabályzó
E 450(b) 	antioxidáns
E 450(c) 	emulgeálószer
E 450(c) 	stabilizátor
E 451 	emulgeálószer
E 452 	emulgeálószer
E 460 	sűrítő anyag
E 461 	emulgeálószer
E 461 	sűrítő anyag
E 463 	emulgeálószer
E 463 	stabilizátor
E 463 	sűrítő anyag
E 464 	emulgeálószer
E 464 	stabilizátor
E 464 	sűrítő anyag
E 465 	emulgeálószer
E 465 	stabilizátor
E 465 	sűrítő anyag
E 466 	emulgeálószer
E 466 	stabilizátor
E 466 	sűrítő anyag
E 470(a) 	emulgeálószer
E 470(a) 	stabilizátor
E 470(a) 	ízesítőszer
E 470(b) 	emulgeálószer
E 470(b) 	stabilizátor
E 470(b) 	ízesítőszer
E 471 	emulgeálószer
E 471 	stabilizátor
E 471 	ízesítőszer
E 472 	emulgeálószer
E 472 	stabilizátor
E 472(a) 	emulgeálószer
E 472(a) 	stabilizátor
E 472(b) 	emulgeálószer
E 472(b) 	stabilizátor
E 472(c) 	emulgeálószer
E 472(c) 	stabilizátor
E 472(d) 	emulgeálószer
E 472(d) 	stabilizátor
E 472(e) 	emulgeálószer
E 472(e) 	stabilizátor
E 472(f) 	emulgeálószer
E 472(f) 	stabilizátor
E 473 	emulgeálószer
E 473 	stabilizátor
E 474 	emulgeálószer
E 474 	stabilizátor
E 475 	emulgeálószer
E 475 	stabilizátor
